Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,50,8,8,15,16,19,4,19,0.000%,5.10308,16.91,0.90
TOTAL,50,8,8,15,16,19,4,19,0.000%,5.10308,16.91,0.90
