Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,50,10,10,14,14,27,6,27,0.000%,5.09840,18.91,1.22
TOTAL,50,10,10,14,14,27,6,27,0.000%,5.09840,18.91,1.22
